event,catalog,waveform,af_source,M_total_Msun,chi_eff_med,a_final_med,redshift,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr_binary,n_carrier_kerr_remnant,kerr_remnant_delta,gap_schwarz,gap_kerr_binary,gap_kerr_remnant,delta_schwarz,delta_kerr_binary,delta_kerr_remnant,log2_M,alpha_inv,n_BBH_theory
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,posterior,68.625,0.0839,0.7271,0.5146,5.381241,0.110366,137.732594,137.63919,136.58478,-1.147814,132.351353,132.257949,131.203539,-4.684646,-4.77805,-5.83246,6.100662,137.035999,5.313987
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,posterior,67.8058,0.0989,0.7333,0.5455,5.387847,0.10183,137.715269,137.604456,136.5517,-1.163568,132.327421,132.216609,131.163853,-4.708578,-4.81939,-5.872146,6.083337,137.035999,5.313987
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,posterior,20.9488,0.1402,0.715,0.1761,5.343041,0.172984,136.020731,135.861122,134.903478,-1.117253,130.67769,130.518081,129.560437,-6.358309,-6.517918,-7.475562,4.388799,137.035999,5.313987
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,posterior,20.8066,0.1395,0.7152,0.1816,5.344114,0.176106,136.010905,135.852181,134.89322,-1.117685,130.666791,130.508067,129.549106,-6.369208,-6.527932,-7.486893,4.378973,137.035999,5.313987
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,posterior,69.3111,0.0525,0.6972,0.5565,5.348068,0.13255,137.746946,137.689171,136.673276,-1.07367,132.398878,132.341103,131.325208,-4.637121,-4.694896,-5.710791,6.115014,137.035999,5.313987
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,posterior,66.3946,0.0787,0.7103,0.6609,5.365238,0.123012,137.684927,137.597471,136.579555,-1.105372,132.319689,132.232233,131.214317,-4.71631,-4.803766,-5.821682,6.052995,137.035999,5.313987
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,posterior,65.0001,-0.0147,0.6829,0.5386,5.331171,0.113238,137.654301,137.670042,136.614418,-1.039883,132.32313,132.338871,131.283247,-4.712869,-4.697128,-5.752752,6.022369,137.035999,5.313987
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,posterior,63.5518,0.0028,0.6895,0.5922,5.340783,0.105032,137.621793,137.618805,136.5665,-1.055293,132.28101,132.278023,131.225718,-4.754989,-4.757976,-5.810281,5.989861,137.035999,5.313987
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,posterior,75.4035,0.3868,0.8322,0.933,5.49988,0.177256,137.868491,137.37741,136.41092,-1.457571,132.368611,131.87753,130.91104,-4.667388,-5.15847,-6.124959,6.236559,137.035999,5.313987
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,posterior,71.0053,0.4244,0.8435,1.0997,5.523814,0.153015,137.781787,137.232614,136.284145,-1.497643,132.257973,131.7088,130.76033,-4.778026,-5.327199,-6.275669,6.149855,137.035999,5.313987
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,posterior,25.9061,0.0037,0.2826,0.0508,4.188836,0.040036,136.32715,136.323132,135.98567,-0.34148,132.138314,132.134296,131.796834,-4.897685,-4.901703,-5.239165,4.695218,137.035999,5.313987
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,posterior,25.9032,0.0038,0.2826,0.0509,4.188728,0.040047,136.326989,136.322878,135.985489,-0.3415,132.138261,132.134151,131.796762,-4.897738,-4.901849,-5.239237,4.695057,137.035999,5.313987
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,posterior,57.2082,0.154,0.7425,0.3754,5.423405,0.060526,137.470082,137.293857,136.282161,-1.187922,132.046678,131.870452,130.858756,-4.989322,-5.165547,-6.177243,5.83815,137.035999,5.313987
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,posterior,56.6258,0.1604,0.7449,0.3932,5.425416,0.060339,137.455319,137.27132,136.261099,-1.19422,132.029903,131.845904,130.835683,-5.006096,-5.190095,-6.200316,5.823387,137.035999,5.313987
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,posterior,34.2533,0.0539,0.64,0.2908,5.176814,0.127938,136.730104,136.670801,135.786242,-0.943862,131.55329,131.493987,130.609429,-5.482709,-5.542012,-6.42657,5.098172,137.035999,5.313987
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,posterior,33.8208,0.0553,0.6414,0.3078,5.178342,0.127833,136.71177,136.650803,135.764787,-0.946984,131.533428,131.472461,130.586444,-5.502571,-5.563538,-6.449555,5.079838,137.035999,5.313987
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,posterior,76.692,-0.0112,0.6848,0.3076,5.346701,0.068759,137.892937,137.905023,136.848659,-1.044278,132.546236,132.558322,131.501958,-4.489763,-4.477677,-5.534041,6.261005,137.035999,5.313987
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,posterior,75.133,-0.0054,0.6886,0.3448,5.350058,0.068156,137.863306,137.869104,136.810086,-1.05322,132.513248,132.519045,131.460028,-4.522751,-4.516954,-5.575971,6.231375,137.035999,5.313987
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,posterior,56.6538,-0.0388,0.6884,0.3297,5.328455,0.084057,137.456033,137.497326,136.403373,-1.05266,132.127578,132.168871,131.074918,-4.908421,-4.867129,-5.961081,5.824101,137.035999,5.313987
