event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW231231_154016,GWTC-4,Meissner_2004_area,0.237500,5.331444,0.045915,0.017444,1
GW240104_164932,GWTC-4,Meissner_2004_area,0.237500,5.399058,0.080537,0.085058,1
GW240107_013215,GWTC-4,Meissner_2004_area,0.237500,5.370128,0.282262,0.056128,1
GW240109_050431,GWTC-4,Meissner_2004_area,0.237500,5.257721,0.086003,-0.056279,1
GW150914_095045,GWTC-2.1,Meissner_2004_area,0.237500,5.340180,0.046137,0.026180,1
GW150914_095045,GWTC-2.1,Meissner_2004_area,0.237500,5.340443,0.045957,0.026443,1
GW151012_095443,GWTC-2.1,Meissner_2004_area,0.237500,5.283719,0.208789,-0.030281,1
GW151012_095443,GWTC-2.1,Meissner_2004_area,0.237500,5.295230,0.203841,-0.018770,1
GW151226_033853,GWTC-2.1,Meissner_2004_area,0.237500,5.333977,0.189791,0.019977,1
GW151226_033853,GWTC-2.1,Meissner_2004_area,0.237500,5.331727,0.189910,0.017727,1
GW170104_101158,GWTC-2.1,Meissner_2004_area,0.237500,5.309539,0.087598,-0.004461,1
GW170104_101158,GWTC-2.1,Meissner_2004_area,0.237500,5.310653,0.085239,-0.003347,1
GW170608_020116,GWTC-2.1,Meissner_2004_area,0.237500,5.351129,0.088127,0.037129,1
GW170608_020116,GWTC-2.1,Meissner_2004_area,0.237500,5.350833,0.088712,0.036833,1
GW170729_185629,GWTC-2.1,Meissner_2004_area,0.237500,5.393465,0.199620,0.079465,1
GW170729_185629,GWTC-2.1,Meissner_2004_area,0.237500,5.440151,0.178804,0.126151,1
GW170809_082821,GWTC-2.1,Meissner_2004_area,0.237500,5.361374,0.087983,0.047374,1
GW170809_082821,GWTC-2.1,Meissner_2004_area,0.237500,5.363420,0.086552,0.049420,1
GW170814_103043,GWTC-2.1,Meissner_2004_area,0.237500,5.378668,0.046399,0.064668,1
GW170814_103043,GWTC-2.1,Meissner_2004_area,0.237500,5.379275,0.046136,0.065275,1
GW170818_022509,GWTC-2.1,Meissner_2004_area,0.237500,5.334096,0.066714,0.020096,1
GW170818_022509,GWTC-2.1,Meissner_2004_area,0.237500,5.337561,0.066023,0.023561,1
GW170823_131358,GWTC-2.1,Meissner_2004_area,0.237500,5.363940,0.103500,0.049940,1
GW170823_131358,GWTC-2.1,Meissner_2004_area,0.237500,5.369700,0.098420,0.055700,1
GW190403_051519,GWTC-2.1,Meissner_2004_area,0.237500,5.214090,0.343804,-0.099910,1
GW190403_051519,GWTC-2.1,Meissner_2004_area,0.237500,5.400111,0.292684,0.086111,1
GW190408_181802,GWTC-2.1,Meissner_2004_area,0.237500,5.321566,0.074859,0.007566,1
GW190408_181802,GWTC-2.1,Meissner_2004_area,0.237500,5.321393,0.072635,0.007393,1
GW190412_053044,GWTC-2.1,Meissner_2004_area,0.237500,5.022181,0.078574,-0.291819,1
GW190412_053044,GWTC-2.1,Meissner_2004_area,0.237500,5.020695,0.078802,-0.293305,1
GW190413_052954,GWTC-2.1,Meissner_2004_area,0.237500,5.312989,0.115031,-0.001011,1
GW190413_052954,GWTC-2.1,Meissner_2004_area,0.237500,5.329366,0.111198,0.015366,1
GW190413_134308,GWTC-2.1,Meissner_2004_area,0.237500,5.273753,0.203854,-0.040247,1
GW190413_134308,GWTC-2.1,Meissner_2004_area,0.237500,5.311009,0.169699,-0.002991,1
GW190421_213856,GWTC-2.1,Meissner_2004_area,0.237500,5.305255,0.102963,-0.008745,1
GW190421_213856,GWTC-2.1,Meissner_2004_area,0.237500,5.310330,0.097660,-0.003670,1
GW190426_190642,GWTC-2.1,Meissner_2004_area,0.237500,5.418177,0.183825,0.104177,1
GW190426_190642,GWTC-2.1,Meissner_2004_area,0.237500,5.449242,0.166979,0.135242,1
GW190503_185404,GWTC-2.1,Meissner_2004_area,0.237500,5.289224,0.140284,-0.024776,1
GW190503_185404,GWTC-2.1,Meissner_2004_area,0.237500,5.298326,0.132150,-0.015674,1
GW190512_180714,GWTC-2.1,Meissner_2004_area,0.237500,5.235646,0.108878,-0.078354,1
GW190512_180714,GWTC-2.1,Meissner_2004_area,0.237500,5.237932,0.109162,-0.076068,1
GW190513_205428,GWTC-2.1,Meissner_2004_area,0.237500,5.265048,0.163938,-0.048952,1
GW190513_205428,GWTC-2.1,Meissner_2004_area,0.237500,5.282076,0.162296,-0.031924,1
GW190514_065416,GWTC-2.1,Meissner_2004_area,0.237500,5.282582,0.144919,-0.031418,1
GW190514_065416,GWTC-2.1,Meissner_2004_area,0.237500,5.299860,0.127574,-0.014140,1
GW190517_055101,GWTC-2.1,Meissner_2004_area,0.237500,5.522249,0.213000,0.208249,1
GW190517_055101,GWTC-2.1,Meissner_2004_area,0.237500,5.552503,0.196532,0.238503,1
GW190519_153544,GWTC-2.1,Meissner_2004_area,0.237500,5.438534,0.126776,0.124534,1
GW190519_153544,GWTC-2.1,Meissner_2004_area,0.237500,5.453201,0.124368,0.139201,1
GW190521_030229,GWTC-2.1,Meissner_2004_area,0.237500,5.206515,0.273140,-0.107485,1
GW190521_030229,GWTC-2.1,Meissner_2004_area,0.237500,5.305940,0.219858,-0.008060,1
GW190521_074359,GWTC-2.1,Meissner_2004_area,0.237500,5.376161,0.049427,0.062161,1
GW190521_074359,GWTC-2.1,Meissner_2004_area,0.237500,5.374738,0.050558,0.060738,1
GW190527_092055,GWTC-2.1,Meissner_2004_area,0.237500,5.312539,0.265090,-0.001461,1
GW190527_092055,GWTC-2.1,Meissner_2004_area,0.237500,5.342684,0.233143,0.028684,1
GW190602_175927,GWTC-2.1,Meissner_2004_area,0.237500,5.340856,0.181177,0.026856,1
GW190602_175927,GWTC-2.1,Meissner_2004_area,0.237500,5.367260,0.165953,0.053260,1
GW190620_030421,GWTC-2.1,Meissner_2004_area,0.237500,5.405018,0.255465,0.091018,1
GW190620_030421,GWTC-2.1,Meissner_2004_area,0.237500,5.439605,0.214965,0.125605,1
GW190630_185205,GWTC-2.1,Meissner_2004_area,0.237500,5.368410,0.081258,0.054410,1
GW190630_185205,GWTC-2.1,Meissner_2004_area,0.237500,5.365509,0.082540,0.051509,1
GW190701_203306,GWTC-2.1,Meissner_2004_area,0.237500,5.295890,0.106625,-0.018110,1
GW190701_203306,GWTC-2.1,Meissner_2004_area,0.237500,5.302174,0.101025,-0.011826,1
GW190706_222641,GWTC-2.1,Meissner_2004_area,0.237500,5.367607,0.216754,0.053607,1
GW190706_222641,GWTC-2.1,Meissner_2004_area,0.237500,5.409465,0.192508,0.095465,1
GW190707_093326,GWTC-2.1,Meissner_2004_area,0.237500,5.310856,0.060051,-0.003144,1
GW190707_093326,GWTC-2.1,Meissner_2004_area,0.237500,5.310598,0.061790,-0.003402,1
GW190708_232457,GWTC-2.1,Meissner_2004_area,0.237500,5.341812,0.066382,0.027812,1
GW190708_232457,GWTC-2.1,Meissner_2004_area,0.237500,5.341266,0.066952,0.027266,1
GW190719_215514,GWTC-2.1,Meissner_2004_area,0.237500,5.364564,0.291803,0.050564,1
GW190719_215514,GWTC-2.1,Meissner_2004_area,0.237500,5.397789,0.258313,0.083789,1
