targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39627694748476093,DESI-XMMLSS-v2.0,35.528555,-3.828733,1.229247,0.000092,GALAXY,,,3929.85
39627694748476008,DESI-XMMLSS-v2.0,35.526049,-3.765773,0.700343,0.000090,GALAXY,,,2572.69
39627694748471176,DESI-XMMLSS-v2.0,35.405486,-3.671187,1.031983,0.000124,GALAXY,,,3472.36
39627688725452781,DESI-XMMLSS-v2.0,35.981838,-4.075108,1.317947,0.000052,GALAXY,,,4120.57
39627688725453920,DESI-XMMLSS-v2.0,36.010695,-4.006128,1.601335,0.000076,GALAXY,,,4669.93
39627688721262103,DESI-XMMLSS-v2.0,35.792756,-3.950610,0.960578,0.000109,GALAXY,,,3294.43
39627688725449543,DESI-XMMLSS-v2.0,35.883224,-4.040397,1.074492,0.000052,GALAXY,,,3574.24
39627688725449527,DESI-XMMLSS-v2.0,35.882901,-3.922755,1.076247,0.000078,GALAXY,,,3579.03
39627688725451636,DESI-XMMLSS-v2.0,35.945091,-3.961811,0.903282,0.000100,GALAXY,,,3143.51
39627688725451449,DESI-XMMLSS-v2.0,35.939492,-4.031780,1.073386,0.000040,GALAXY,,,3571.84
39627688725448226,DESI-XMMLSS-v2.0,35.842244,-4.096631,1.047878,0.000116,GALAXY,,,3511.46
39627712851085473,DESI-XMMLSS-v2.0,35.814142,-3.073428,1.037933,0.000078,GALAXY,,,3487.07
39627712851085377,DESI-XMMLSS-v2.0,35.811282,-3.030081,0.987284,0.000094,GALAXY,,,3360.44
39627712851089060,DESI-XMMLSS-v2.0,35.909824,-3.091614,0.749776,0.000016,GALAXY,,,2719.74
