event_file,catalog,waveform_key,erad_strategy,M_total_med,log2_M,chi_eff_med,af_med,m_irr_final_med,e_th_med,e_th_frac_med,n_std,n_std_std,gap_std,n_irr,n_irr_std,gap_irr,n_above,n_above_std,gap_above,has_variant_c,in_band_std,n_samples
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,21.6999,4.439616,0.174954,0.718965,19.0647,0.0,0.0,5.328458,0.127103,130.743089,5.420651,0.131459,130.650896,5.327282,0.142205,130.744265,1,1,131644
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,18.3061,4.194253,-0.038945,0.645905,16.5019,0.0,0.0,5.223844,0.222924,130.602341,5.297082,0.227184,130.529103,5.215902,0.267492,130.610283,1,1,79206
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,18.1626,4.182897,-0.035606,0.646223,16.3726,0.0,0.0,5.22203,0.223477,130.592799,5.295338,0.22779,130.519491,5.213957,0.268085,130.600872,1,1,170198
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,68.625,6.100662,0.083881,0.727143,59.9002,0.0,0.0,5.381241,0.110366,132.351353,5.478248,0.125124,132.254346,5.380652,0.199346,132.351942,1,1,38894
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,67.8058,6.083337,0.098946,0.733253,59.0316,0.0,0.0,5.387847,0.10183,132.327421,5.486611,0.116514,132.228658,5.387109,0.189675,132.32816,1,1,162922
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,20.9488,4.388799,0.140244,0.715044,18.4137,0.0,0.0,5.343041,0.172984,130.67769,5.434745,0.176136,130.585986,5.341919,0.178985,130.678812,1,1,11485
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,20.8066,4.378973,0.139507,0.715217,18.2894,0.0,0.0,5.344114,0.176106,130.666791,5.436264,0.179274,130.574641,5.342951,0.18197,130.667954,1,1,20000
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,69.3111,6.115014,0.052497,0.697215,61.3822,0.0,0.0,5.348068,0.13255,132.398878,5.437837,0.150543,132.309109,5.347428,0.184832,132.399518,1,1,21267
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,66.3946,6.052995,0.078693,0.710251,58.4115,0.0,0.0,5.365238,0.123012,132.319689,5.458305,0.140658,132.226622,5.364281,0.171806,132.320646,1,1,126255
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,65.0001,6.022369,-0.014653,0.682922,57.7804,0.0,0.0,5.331171,0.113238,132.32313,5.417083,0.127483,132.237218,5.331819,0.213901,132.322483,1,1,20574
