event_file,catalog,event_type,waveform_key,median_n,std_n,in_bbh_band,median_chi_eff
IGWN-GWTC4p0-0f954158d_720-GW230824_033047-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.32298,0.13723,1,0.00218
IGWN-GWTC4p0-0f954158d_720-GW230825_041334-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.46935,0.14311,1,0.31738
IGWN-GWTC4p0-0f954158d_720-GW230831_015414-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35369,0.12777,1,0.04275
IGWN-GWTC4p0-0f954158d_720-GW230904_051013-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33891,0.08416,1,0.05618
IGWN-GWTC4p0-0f954158d_720-GW230911_195324-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.25947,0.11833,1,-0.029
IGWN-GWTC4p0-0f954158d_720-GW230914_111401-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33799,0.13903,1,0.12752
IGWN-GWTC4p0-0f954158d_720-GW230919_215712-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.42664,0.04916,1,0.18229
IGWN-GWTC4p0-0f954158d_720-GW230920_071124-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34031,0.10097,1,-0.00189
IGWN-GWTC4p0-0f954158d_720-GW230922_020344-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34382,0.0785,1,0.03535
IGWN-GWTC4p0-0f954158d_720-GW230922_040658-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.4457,0.22737,1,0.33778
IGWN-GWTC4p0-0f954158d_720-GW230924_124453-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36288,0.05297,1,0.01957
IGWN-GWTC4p0-0f954158d_720-GW230927_043729-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35326,0.07204,1,0.0071
IGWN-GWTC4p0-0f954158d_720-GW230927_153832-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35863,0.03783,1,0.04056
IGWN-GWTC4p0-0f954158d_720-GW230928_215827-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.50068,0.16403,1,0.42045
IGWN-GWTC4p0-0f954158d_720-GW230930_110730-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34389,0.1146,1,0.02766
IGWN-GWTC4p0-0f954158d_720-GW231001_140220-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.20984,0.18448,1,-0.04788
IGWN-GWTC4p0-0f954158d_720-GW231004_232346-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.20081,0.18936,1,-0.05118
IGWN-GWTC4p0-0f954158d_720-GW231005_021030-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.31847,0.18777,1,0.11233
IGWN-GWTC4p0-0f954158d_720-GW231005_091549-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.32519,0.10717,1,-0.03843
IGWN-GWTC4p0-0f954158d_720-GW231008_142521-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.25411,0.18451,1,-0.02524
IGWN-GWTC4p0-0f954158d_720-GW231014_040532-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.39742,0.13692,1,0.18128
IGWN-GWTC4p0-0f954158d_720-GW231018_233037-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.29969,0.11047,1,0.01478
IGWN-GWTC4p0-0f954158d_720-GW231020_142947-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34416,0.15539,1,0.15116
