event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC4p0-0f954158d_720-GW230702_185453-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.13821,0.22133,0.41425,2329.527,0.05871,17288,1
IGWN-GWTC4p0-0f954158d_720-GW230704_021211-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.28105,0.12649,0.45061,2573.853,-0.01389,23018,1
IGWN-GWTC4p0-0f954158d_720-GW230704_212616-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.38206,0.25624,1.00164,6799.659,0.37719,23006,1
IGWN-GWTC4p0-0f954158d_720-GW230706_104333-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.40878,0.07499,0.35153,1921.02,0.19291,15235,1
IGWN-GWTC4p0-0f954158d_720-GW230707_124047-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.333,0.08199,0.71891,4523.357,-0.04347,13678,1
IGWN-GWTC4p0-0f954158d_720-GW230708_053705-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.38436,0.07464,0.54783,3252.043,0.07729,15934,1
IGWN-GWTC4p0-0f954158d_720-GW230708_230935-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.29116,0.16924,0.56338,3363.68,0.02428,14977,1
IGWN-GWTC4p0-0f954158d_720-GW230709_122727-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35381,0.1688,0.72757,4590.116,0.09451,12263,1
IGWN-GWTC4p0-0f954158d_720-GW230712_090405-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.08814,0.27933,0.36136,1983.9,-0.04105,26163,1
IGWN-GWTC4p0-0f954158d_720-GW230723_101834-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.24801,0.10718,0.29118,1544.502,-0.15887,15000,1
IGWN-GWTC4p0-0f954158d_720-GW230726_002940-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34321,0.06778,0.37561,2075.824,-0.01655,13791,1
IGWN-GWTC4p0-0f954158d_720-GW230729_082317-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33515,0.14794,0.30498,1629.102,0.12476,12605,1
IGWN-GWTC4p0-0f954158d_720-GW230731_215307-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.32715,0.04799,0.21823,1112.958,-0.04788,10904,1
IGWN-GWTC4p0-0f954158d_720-GW230803_033412-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33373,0.15002,0.7328,4630.49,0.09899,16784,1
IGWN-GWTC4p0-0f954158d_720-GW230805_034249-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33543,0.15431,0.53287,3145.433,0.08199,16941,1
IGWN-GWTC4p0-0f954158d_720-GW230806_204041-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36262,0.13465,0.8451,5515.372,0.09289,14235,1
IGWN-GWTC4p0-0f954158d_720-GW230811_032116-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.30473,0.09819,0.36833,2028.778,0.01711,17874,1
IGWN-GWTC4p0-0f954158d_720-GW230814_061920-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.31596,0.1325,0.6196,3774.119,0.05286,13478,1
